date,statistic,value,station_count,station_ids,source_files,source_rows,row_count
2022-11-16,min,1.33,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,37; 36; 263,3
2022-11-17,max,3.17,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,38; 37; 264,3
2022-11-17,mean,2.168,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,38; 37; 264,3
2022-11-17,min,1.31,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,38; 37; 264,3
2022-11-18,max,2.48,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,39; 38; 265,3
2022-11-18,mean,2.095,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,39; 38; 265,3
2022-11-18,min,1.28,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,39; 38; 265,3
2023-05-06,max,41.5,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,2; 369,2
2023-05-06,mean,39.154,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,2; 369,2
2023-05-06,min,36.8,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,2; 369,2
2023-05-07,max,49.5,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,3; 370,2
2023-05-07,mean,47.47,2,la_poza; pucon,raw_data/la_poza/la poza (3).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,3; 370,2
